start_station_id,month,average_per_month,start_lng,start_lat,heat
15628,5,322.0,-87.69804916666666,41.95218166666667,0.02
15631,5,302.0,-87.70673833333333,41.9452565,0.02
15632,5,406.0,-87.69461816666667,41.94661583333333,0.03
15634,5,377.0,-87.687288,41.943034,0.03
15640,5,307.0,-87.72354083333333,41.939398833333335,0.02
15642,5,403.0,-87.698007756,41.93842879148,0.03
15643,5,266.0,-87.72383416666666,41.93050783333333,0.02
15644,5,360.0,-87.71677216666667,41.935423,0.02
15645,5,309.0,-87.7011951301,41.93190196886,0.02
15646,5,445.0,-87.69772433333333,41.92668883333333,0.03
15648,5,427.0,-87.68930983333334,41.924647,0.03
15650,5,588.0,-87.71022096276283,41.91710803478932,0.04
15651,5,739.0,-87.7018089555,41.91751339399,0.05
15652,5,150.0,-87.7166319516,41.90965687563,0.01
15653,5,437.0,-87.7052804871,41.90976930169,0.03
15654,5,363.0,-87.7093135,41.90276983333333,0.02
15655,5,567.0,-87.70521516666666,41.914041833333336,0.04
15664,5,440.0,-87.6882193648,41.88949181977,0.03
15666,5,93.0,-87.69633283333333,41.884467,0.01
15667,5,242.0,-87.686112808,41.8797877089,0.02
15668,5,461.0,-87.6864452757,41.87474885079,0.03
15682,5,36.0,-87.706496,41.866493,0.0
15685,5,109.0,-87.71511733531952,41.854063503874464,0.01
15686,5,52.0,-87.7050730318,41.85353363213,0.0
15687,5,43.0,-87.71510566666667,41.84810566666667,0.0
15689,5,83.0,-87.6951398068,41.84910969176,0.01
15691,5,33.0,-87.702013,41.844475,0.0
15692,5,52.0,-87.69489833333333,41.8437335,0.0
16010,5,125.0,-87.72785,41.92459,0.01
16806,5,114.0,-87.669563,42.019537,0.01
16903,5,53.0,-87.74544116666667,41.88682133333333,0.0
16905,5,34.0,-87.76547583333334,41.8877545,0.0
16906,5,66.0,-87.77427345514297,41.88794379427211,0.0
16907,5,21.0,-87.71547,41.875679,0.0
16912,5,8.0,-87.746619,41.872131,0.0
16913,5,11.0,-87.745405,41.877613,0.0
16915,5,21.0,-87.76448783333333,41.87300366666667,0.0
16916,5,34.0,-87.763238,41.880121,0.0
16918,5,46.0,-87.7744615,41.88026466666667,0.0
16920,5,64.0,-87.764902,41.894958,0.0
16921,5,49.0,-87.77459983333334,41.89482766666666,0.0
16932,5,26.0,-87.665577,41.823465,0.0
16933,5,22.0,-87.650931,41.823613,0.0
16937,5,43.0,-87.66454,41.80887,0.0
16940,5,24.0,-87.664699,41.803023,0.0
16943,5,11.0,-87.66451783333333,41.7928445,0.0
16948,5,24.0,-87.66492066666666,41.7794255,0.0
16950,5,6.0,-87.663815,41.774074,0.0
16951,5,21.0,-87.67363429069519,41.75927403933122,0.0
16953,5,11.0,-87.63121,41.75797,0.0
16970,5,10.0,-87.578439355,41.75179565,0.0
16991,5,119.0,-87.74963966666667,41.95449233333333,0.01
16994,5,64.0,-87.7400075,41.94719116666667,0.0
17660,5,794.0,-87.696704,41.900363,0.05
18003,5,915.0,-87.620104,41.895748,0.06
18016,5,206.0,-87.713998556,41.949913025,0.01
